GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,124,0,13,0,23,0,9,0,2,0
parking-system,com.parkit.parkingsystem.service,ParkingService,254,0,11,0,69,0,13,0,7,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,62,0,8,0,19,0,13,0,9,0
parking-system,com.parkit.parkingsystem.model,Ticket,45,0,0,0,19,0,13,0,13,0
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,24,0,0,0,3,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,54,0,4,0,17,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,278,0,6,0,63,0,9,0,6,0
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,107,0,4,0,29,0,6,0,4,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,60,0,6,0,26,0,9,0,6,0
